recipe_id,recipe_name,ingredients,calorie,protein,fat,carbohydrate,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,vitamin_b6,vitamin_b12,niacin,folic_acid,vitamin_c,biotin,total_choline,sodium,potassium,magnesium,iron,zinc,calcium,phosphorus,selenium,iodine,copper,manganese
8614,芹菜豆腐丝,"芹菜：50g豆腐丝：50g豆油：3g精盐：0.5g, 芹菜：50g, 豆腐丝：50g, 豆油：3g, 精盐：0.5g",135 kcal,10.95 g,8.35 g,4.65 g,2.50 μg RAE,,7.67 mg α-TE,,0.03 mg,0.07 mg,0.03 mg,0.00 μg,0.36 mg,14.30 μg,1.00 mg,0.55 μg,,290.21 mg,101.16 mg,71.60 mg,4.72 mg,1.12 mg,110.00 mg,116.71 mg,0.75 μg,,0.17 mg,0.89 mg
8615,芹菜青椒炒香干,"芹菜：50g甜椒：40g豆腐干：25g豆油：3g精盐：0.5g, 芹菜：50g, 甜椒：40g, 豆腐干：25g, 豆油：3g, 精盐：0.5g",90 kcal,4.33 g,6.01 g,5.47 g,3.90 μg RAE,,6.20 mg α-TE,,0.03 mg,0.03 mg,0.08 mg,0.00 μg,0.37 mg,32.21 μg,53.00 mg,2.68 μg,3.05 mg,362.16 mg,98.41 mg,25.35 mg,1.95 mg,0.56 mg,119.75 mg,50.21 mg,1.98 μg,11.99 μg,0.12 mg,0.30 mg
8616,鸡丝拌香芹,"芹菜：100g鸡胸脯肉：50g豆油：3g精盐：0.5g味精：1g, 芹菜：100g, 鸡胸脯肉：50g, 豆油：3g, 精盐：0.5g, 味精：1g",102 kcal,13.10 g,4.15 g,3.67 g,3.50 μg RAE,,3.00 mg α-TE,,0.05 mg,0.05 mg,0.31 mg,0.00 μg,6.20 mg,28.95 μg,2.00 mg,1.85 μg,6.90 mg,467.11 mg,294.70 mg,30.17 mg,0.78 mg,0.30 mg,17.00 mg,98.25 mg,5.97 μg,1.60 μg,0.04 mg,0.07 mg
8617,韭菜馅饼,"韭菜：50g小麦面粉：50g酵母：3g精盐：2g鸡粉：1g花生油：10g, 韭菜：50g, 小麦面粉：50g, 酵母：3g, 精盐：2g, 鸡粉：1g, 花生油：10g",297 kcal,10.61 g,11.54 g,39.39 g,66.50 μg RAE,,4.66 mg α-TE,36.90 μg,0.45 mg,0.16 mg,0.14 mg,0.00 μg,2.76 mg,42.44 μg,1.00 mg,4.95 μg,20.90 mg,981.44 mg,217.35 mg,37.31 mg,1.55 mg,0.29 mg,42.54 mg,165.22 mg,4.45 μg,2.29 μg,0.08 mg,0.20 mg
8618,韭菜肉末煎饼,"小麦面粉：50g韭菜：50g猪肉：15g精盐：1g花生油：10g葱：5g韭菜：50g胡椒粉：0.5g, 小麦面粉：50g, 韭菜：50g, 猪肉：15g, 精盐：1g, 花生油：10g, 葱：5g, 韭菜：50g, 胡椒粉：0.5g",350 kcal,12.65 g,16.19 g,40.58 g,138.80 μg RAE,,5.07 mg α-TE,73.80 μg,0.32 mg,0.11 mg,0.24 mg,0.00 μg,2.46 mg,75.77 μg,3.05 mg,6.76 μg,20.90 mg,409.87 mg,376.86 mg,53.16 mg,1.62 mg,0.71 mg,65.43 mg,150.31 mg,6.34 μg,3.79 μg,0.13 mg,0.31 mg
8619,香煎韭菜鸡蛋饼,"小麦面粉：50g韭菜：50g鸡蛋：30g精盐：1g香菇：10g花生油：10g胡椒粉：0.5g, 小麦面粉：50g, 韭菜：50g, 鸡蛋：30g, 精盐：1g, 香菇：10g, 花生油：10g, 胡椒粉：0.5g",355 kcal,15.03 g,14.15 g,44.97 g,143.25 μg RAE,,5.07 mg α-TE,36.90 μg,0.30 mg,0.25 mg,0.14 mg,0.00 μg,3.51 mg,89.74 μg,1.50 mg,7.77 μg,95.90 mg,438.50 mg,309.11 mg,55.56 mg,2.53 mg,1.42 mg,64.03 mg,173.16 mg,9.26 μg,9.04 μg,0.24 mg,0.75 mg
8620,韭菜炒银芽,"韭菜：50g绿豆芽：100g豆油：5g精盐：0.5g, 韭菜：50g, 绿豆芽：100g, 豆油：5g, 精盐：0.5g",74 kcal,2.90 g,5.30 g,4.85 g,67.50 μg RAE,,4.94 mg α-TE,36.90 μg,0.04 mg,0.05 mg,0.13 mg,0.00 μg,0.78 mg,55.40 μg,5.00 mg,2.15 μg,,225.51 mg,152.72 mg,30.16 mg,0.76 mg,0.38 mg,36.76 mg,41.85 mg,0.95 μg,4.40 μg,0.09 mg,0.18 mg
8621,清炒豆芽,"绿豆芽：120g豆油：5g精盐：0.5g, 绿豆芽：120g, 豆油：5g, 精盐：0.5g",64 kcal,2.04 g,5.12 g,3.12 g,1.20 μg RAE,,4.65 mg α-TE,,0.02 mg,0.02 mg,0.04 mg,0.00 μg,0.42 mg,29.76 μg,4.80 mg,1.20 μg,,227.77 mg,38.62 mg,21.76 mg,0.47 mg,0.29 mg,17.56 mg,23.15 mg,0.33 μg,3.48 μg,0.07 mg,0.08 mg
8622,豆芽拌海带,"绿豆芽：60g海带：40g豆油：5g精盐：0.5g, 绿豆芽：60g, 海带：40g, 豆油：5g, 精盐：0.5g",61 kcal,1.46 g,5.10 g,2.76 g,11.00 μg RAE,,4.68 mg α-TE,,0.02 mg,0.05 mg,0.02 mg,0.00 μg,0.57 mg,14.88 μg,2.40 mg,0.60 μg,,255.33 mg,108.22 mg,35.36 mg,1.61 mg,0.43 mg,105.56 mg,23.35 mg,2.13 μg,47.30 μg,0.05 mg,0.64 mg
8623,炝炒豆芽韭菜,"韭菜：50g绿豆芽：50g猪肉：20g豆油：5g精盐：0.5g醋：2g生抽：1g豌豆淀粉：3g黄酒：2g, 韭菜：50g, 绿豆芽：50g, 猪肉：20g, 豆油：5g, 精盐：0.5g, 醋：2g, 生抽：1g, 豌豆淀粉：3g, 黄酒：2g",108 kcal,6.11 g,6.84 g,6.20 g,67.00 μg RAE,0.00 μg,5.01 mg α-TE,36.90 μg,0.09 mg,0.08 mg,0.16 mg,0.00 μg,1.93 mg,44.87 μg,3.00 mg,2.16 μg,11.98 mg,290.54 mg,213.87 mg,27.73 mg,1.12 mg,0.73 mg,32.40 mg,72.38 mg,2.55 μg,3.00 μg,0.07 mg,0.24 mg
